Row,Type,Severity,Description,Auto Fixed,Auto Fix Description,Resolution
2,UNKNOWN_MEMBER,warning,"Row 2: Unknown participant(s): Aisha, Rohan, Priya, Meera. These will be created as guests.",false,,needs_review
2,UNKNOWN_PAYER,warning,"Row 2: paid_by ""Aisha"" is not a known member. Possible match: ""Aisha Sharma"".",false,,needs_review
3,UNKNOWN_MEMBER,warning,"Row 3: Unknown participant(s): Aisha, Rohan, Priya, Meera. These will be created as guests.",false,,needs_review
3,UNKNOWN_PAYER,error,"Row 3: paid_by ""Priya"" is not a known member and has no close match.",false,,needs_review
4,UNKNOWN_PAYER,error,"Row 4: paid_by ""Rohan"" is not a known member and has no close match.",false,,needs_review
4,UNKNOWN_MEMBER,warning,"Row 4: Unknown participant(s): Aisha, Rohan, Priya, Meera. These will be created as guests.",false,,needs_review
5,UNKNOWN_MEMBER,warning,"Row 5: Unknown participant(s): Aisha, Rohan, Priya. These will be created as guests.",false,,approved
6,DUPLICATE_EXACT,error,"Rows 5 and 6 appear to be duplicate entries: both are ""Dev"" paying ~3200 on 2026-02-08 (""Dinner at Marina Bites"" vs ""dinner - marina bites""). Row 6 is flagged for deletion.",false,,needs_review
6,UNKNOWN_MEMBER,warning,"Row 6: Unknown participant(s): Aisha, Rohan, Priya. These will be created as guests.",false,,needs_review
7,UNKNOWN_MEMBER,warning,"Row 7: Unknown participant(s): Aisha, Rohan, Priya, Meera. These will be created as guests.",false,,needs_review
7,UNKNOWN_PAYER,warning,"Row 7: paid_by ""Aisha"" is not a known member. Possible match: ""Aisha Sharma"".",false,,needs_review
7,FORMAT_AMOUNT,info,"Row 7: Amount ""1,200"" has comma separators. Auto-stripped to ""1200"".",true,"""1,200"" → ""1200""",auto_fixed
8,UNKNOWN_MEMBER,warning,"Row 8: Unknown participant(s): Aisha, Rohan, Priya, Meera. These will be created as guests.",false,,needs_review
8,UNKNOWN_PAYER,error,"Row 8: paid_by ""Meera"" is not a known member and has no close match.",false,,needs_review
9,UNKNOWN_MEMBER,warning,"Row 9: Unknown participant(s): Aisha, Rohan, Priya. These will be created as guests.",false,,needs_review
9,NAME_NORMALIZATION,info,"Row 9: paid_by ""priya"" normalized to ""Priya""",true,"Normalized ""priya"" → ""Priya""",auto_fixed
9,UNKNOWN_PAYER,error,"Row 9: paid_by ""Priya"" is not a known member and has no close match.",false,,needs_review
10,EXCESS_PRECISION,info,"Row 10: Amount ""899.995"" has 3 decimal places. Rounded to 900.00.",true,899.995 → 900,auto_fixed
10,UNKNOWN_PAYER,error,"Row 10: paid_by ""Rohan"" is not a known member and has no close match.",false,,needs_review
10,UNKNOWN_MEMBER,warning,"Row 10: Unknown participant(s): Aisha, Rohan, Priya, Meera. These will be created as guests.",false,,needs_review
11,UNKNOWN_PAYER,error,"Row 11: paid_by ""Priya S"" is not a known member and has no close match.",false,,needs_review
11,UNKNOWN_MEMBER,warning,"Row 11: Unknown participant(s): Aisha, Rohan, Priya, Meera. These will be created as guests.",false,,needs_review
12,UNKNOWN_MEMBER,warning,"Row 12: Unknown participant(s): Rohan, Priya, Meera. These will be created as guests.",false,,needs_review
12,UNKNOWN_PAYER,error,"Row 12: paid_by ""Rohan"" is not a known member and has no close match.",false,,needs_review
12,NONSTANDARD_SPLIT_TYPE,info,"Row 12: split_type ""unequal"" is non-standard. Treating as EXACT (specific amounts provided in split_details).",true,"Mapped ""unequal"" → ""exact""",auto_fixed
13,UNKNOWN_MEMBER,warning,"Row 13: Unknown participant(s): Aisha, Rohan, Priya, Meera. These will be created as guests.",false,,needs_review
